samples,mh,rejection,importance,smc
100,0.0328463440531,0.00741357003567,0.00606647960775,0.0102397865899
107,0.0191312337768,0.00624478330496,0.00516265156349,0.00384500102409
114,0.0160168920025,0.00438713490518,0.00449297742795,0.00306814581299
123,0.0148104387811,0.00240753083042,0.00411576084075,0.00220017918977
132,0.0134393299247,0.00198537056519,0.00373424800699,0.00180774943944
141,0.0135920266506,0.00315414454424,0.00343457248395,0.00177141133211
151,0.0131383705214,0.00425267392601,0.00311271463395,0.00167444645519
162,0.0131847709933,0.00524458736925,0.00274891450469,0.00182757322138
174,0.0131081212411,0.00602337105309,0.00255172223303,0.00183878828481
187,0.0138053304782,0.00518151731628,0.00244984925736,0.00169883390844
200,0.014221879323,0.00430498894004,0.00240018207489,0.00165860514854
215,0.0147213442578,0.00367589842544,0.00233068321085,0.00170069197693
231,0.0150714745808,0.00312802563936,0.00207754396861,0.00152413402111
247,0.0156628521998,0.00336254326366,0.00174639049976,0.00152847293436
265,0.0157288110773,0.00372955467365,0.00151602445649,0.00152458390541
284,0.0152926355943,0.00396848882352,0.00134935163272,0.00153331032276
305,0.014517160277,0.00429994544423,0.00122876150765,0.00153796006494
327,0.0121817284914,0.00440165980613,0.00127103516587,0.00152343320453
351,0.00939410103392,0.00383485347479,0.00131900138387,0.00144363007326
376,0.00673025350647,0.00338206974324,0.00133236778458,0.00133119400396
403,0.00471060064323,0.00295827920557,0.00134506040627,0.00117822243878
432,0.0028352290084,0.00250736172686,0.00128714404401,0.0010046019366
464,0.00241496632237,0.00213169329149,0.00112554423156,0.000879200530009
497,0.00202351219506,0.00182425851135,0.000978625038991,0.000744541781385
533,0.00176804144462,0.00159127222013,0.000858443409647,0.000646485753674
572,0.00153518206616,0.00139227098592,0.000744381675891,0.000571727583034
613,0.00138716425243,0.00134333600515,0.000636448037526,0.000561474372318
657,0.00124340594085,0.00139211971257,0.000585899541952,0.000548225686945
705,0.00110560766518,0.00142785409321,0.000543180319964,0.000550632964614
756,0.000997972003066,0.00149385696556,0.000511137099257,0.000551311326346
811,0.000936609555459,0.00144293319195,0.000472903412963,0.000549210681886
869,0.000889932367309,0.00145869014029,0.000455663982955,0.000494595715179
932,0.000848657348679,0.00150228147088,0.000396101396382,0.00045576657572
1000,0.000816385655487,0.00166141830626,0.000338916271426,0.000410117920836
1072,0.000741012315734,0.0017506254183,0.000287824767979,0.000363833770607
1149,0.000644265009575,0.00196362075745,0.000258130792029,0.000329015618628
1232,0.000558775908973,0.00194341568063,0.000233854772956,0.000290445192281
1321,0.000477621657061,0.00189671047739,0.000212858530097,0.000256011815734
1417,0.000408970986945,0.00175894550984,0.000195595102647,0.000222819251552
1519,0.000377551313314,0.0016463221518,0.000179356266848,0.000196647862753
1629,0.000361077811069,0.00153169500409,0.000166179512913,0.00017175181526
1747,0.000338125702931,0.0014293461969,0.00015180250604,0.000153053134439
1873,0.000313974797021,0.00133346826975,0.000138316158525,0.00013304331273
2009,0.000304224299136,0.00130528255381,0.000126306435639,0.000120052541602
2154,0.000294823239878,0.00126820509473,0.000116868865418,0.000108528540812
2310,0.000277390352073,0.00121005111224,0.000108101147718,9.89011110081e-05
2477,0.000267526632394,0.00116646025398,0.000102766341216,8.95221774509e-05
2656,0.000258984197974,0.00112941700831,9.73476697595e-05,8.3751151068e-05
2848,0.000239181049031,0.00106363817372,9.12282385902e-05,7.8729369112e-05
3053,0.00021894020135,0.00102301066086,8.38290600558e-05,7.37557793149e-05
3274,0.000202433431354,0.000982804006003,7.61697717712e-05,6.97884375372e-05
3511,0.000182370732222,0.000931538422427,6.64690459403e-05,6.60433761327e-05
3764,0.000156841584723,0.000874398472852,5.8030362483e-05,6.12202600549e-05
4037,0.000138003679602,0.000793297265664,5.13159342316e-05,5.57844371989e-05
4328,0.000118541837795,0.000717989565692,4.61538713288e-05,5.12115958009e-05
4641,9.79208463945e-05,0.000656371165523,4.12158846726e-05,4.66079518932e-05
4977,8.0335101197e-05,0.000592956330567,3.78091917854e-05,4.21192833814e-05
5336,6.84696204197e-05,0.000541674092233,3.45898964918e-05,3.83507755722e-05
5722,5.73261680408e-05,0.000521434657371,3.13837324872e-05,3.48195600438e-05
6135,4.88567898974e-05,0.000508392677499,2.82742027132e-05,3.12875805406e-05
6579,4.39118262982e-05,0.000508388426163,2.57262180952e-05,2.8372773033e-05
7054,4.19404583287e-05,0.000523979593324,2.37702976531e-05,2.55975437662e-05
7564,3.94735472211e-05,0.000537175810738,2.21177326e-05,2.31057504216e-05
8111,3.71037346633e-05,0.000524761644799,2.08299481024e-05,2.08367967004e-05
8697,3.54117335311e-05,0.000508144279341,1.98588828174e-05,1.87649160317e-05
9326,3.33170833244e-05,0.000475431722997,1.8513484363e-05,1.66892924135e-05
10000,3.06165800095e-05,0.000441071878308,1.68908488935e-05,1.51946168089e-05
10722,2.87376625756e-05,0.000409123722753,1.53803070706e-05,1.38459333413e-05
11497,2.66508140754e-05,0.000380267713271,1.38537434593e-05,1.27311845809e-05
12328,2.36209036013e-05,0.000358931992728,1.24323468459e-05,1.18521709895e-05
13219,2.04916459999e-05,0.000338289496909,1.15521941683e-05,1.11457773546e-05
14174,1.73225302789e-05,0.000320033195523,1.0646797377e-05,1.04568480716e-05
15199,1.44293777911e-05,0.000302522628026,9.81026678758e-06,9.86935451385e-06
16297,1.2189956241e-05,0.000285028191275,9.08385713043e-06,9.14191366436e-06
17475,1.08690387527e-05,0.000266133901826,8.2758600221e-06,8.35385634904e-06
18738,9.90397891954e-06,0.000249809722922,7.54415170416e-06,7.63087498146e-06
20092,9.06843471182e-06,0.000234430418618,6.92153324931e-06,6.9749260792e-06
21544,8.28604317702e-06,0.000220402744942,6.3576737884e-06,6.33961731894e-06
23101,7.59489070793e-06,0.000208348629372,5.80861844743e-06,5.81904079519e-06
24770,6.98449276913e-06,0.000194868639808,5.35949928644e-06,5.42112054916e-06
26560,6.41589877176e-06,0.000182559456398,4.93344197066e-06,5.04934812419e-06
28480,5.84763904667e-06,0.000170869962047,4.53267242443e-06,4.67430104087e-06
30538,5.37512553402e-06,0.000159464977907,4.16853077155e-06,4.34281296847e-06
32745,4.92639165064e-06,0.000150714333603,3.85487669002e-06,3.98413363754e-06
35111,4.46117266739e-06,0.000142716108316,3.56479479253e-06,3.64609889444e-06
37649,4.10358209274e-06,0.000135321116306,3.30194093709e-06,3.34091811675e-06
40370,3.76223714126e-06,0.000128672588344,3.05844685562e-06,3.06252756663e-06
43287,3.43604419499e-06,0.000123835346878,2.81682607648e-06,2.82085745614e-06
46415,3.12690569511e-06,0.000117345820072,2.601805369e-06,2.63014829924e-06
49770,2.84889616815e-06,0.000111315142632,2.40492225759e-06,2.44989602877e-06
53366,2.58163876775e-06,0.000105488381415,2.22469957074e-06,2.27861658334e-06
57223,2.35574767676e-06,9.98158842652e-05,2.04672822503e-06,2.10314534397e-06
61359,2.1635026963e-06,9.31107944056e-05,1.89770573677e-06,1.92942851826e-06
65793,1.99426223775e-06,8.67688951294e-05,1.75866337917e-06,1.77254372962e-06
70548,1.85519174338e-06,8.07638269272e-05,1.62834830659e-06,1.62999318756e-06
75646,1.71498459803e-06,7.5131648584e-05,1.50774314763e-06,1.49879334083e-06
