samples,mh,rejection,importance,smc
100,0.0306546481346,0.0600861003767,0.00285359004423,0.00561204936277
107,0.0319824776344,0.0620453858349,0.00340449159269,0.00548225580663
114,0.034298174852,0.0625424841747,0.00398251996295,0.00516341152551
123,0.0365133695447,0.0640302410492,0.00458274807716,0.0048643385825
132,0.0375710921319,0.0644844718045,0.00507630576608,0.00411996700738
141,0.0366111236748,0.0641035885284,0.00530214840826,0.0033257228989
151,0.0351317021468,0.0648877242145,0.00540607170123,0.00250050992729
162,0.0339220710916,0.0653794033671,0.00571744312471,0.00159374106781
174,0.0335946466689,0.0661851477485,0.00588731808935,0.000936791459917
187,0.0342613128187,0.0675241532503,0.00579242930685,0.000439684122429
200,0.0340951212346,0.0685434633011,0.00549163884137,0.000131835342082
215,0.034367766199,0.0701864779277,0.00512481054033,6.26961630268e-05
231,0.0344025435063,0.0716027267872,0.00462971956876,4.96765046875e-05
247,0.0342677951713,0.0721412101785,0.00398557860977,7.58124704634e-05
265,0.0349467938731,0.0715352816356,0.0035529302446,0.000117864558541
284,0.0373007552713,0.0723781633058,0.00325509303706,0.00020290482478
305,0.0389082201718,0.0726591237002,0.00285400908508,0.000251544041835
327,0.0403782086275,0.071792109522,0.00233510915096,0.000319019293305
351,0.0403191968034,0.0709730828498,0.00187357659743,0.000424850751478
376,0.0397608023043,0.0703756402068,0.00158879935838,0.000456076334318
403,0.0391531745778,0.0693173393726,0.00129597197484,0.000494022931322
432,0.0386347286629,0.0674211741412,0.0011400185464,0.000644062181613
464,0.0365001886577,0.0661220888227,0.00101877968329,0.000725259428237
497,0.0350651813722,0.065315333072,0.000914033316202,0.000762580901915
533,0.0324421742556,0.0649740587067,0.000850113558296,0.000790214682841
572,0.0289577025534,0.0647493384024,0.000686945064731,0.000784978946537
613,0.0254364534973,0.0648085609586,0.000550981307964,0.000799380141294
657,0.022726361322,0.0657067355146,0.000505945709772,0.000782352480509
705,0.0208808514186,0.0663877213105,0.00046069288353,0.000738506099129
756,0.018977925442,0.0668597252051,0.000361525876989,0.000751136130796
811,0.0167816781248,0.0668518079763,0.000311112199649,0.000778888848237
869,0.01413498866,0.0672680258538,0.000291674006074,0.000709589044331
932,0.0124920583448,0.0682964544759,0.000258220358505,0.000705439775892
1000,0.0110136144511,0.0696990555646,0.000244575114795,0.000697630300303
1072,0.0103155405037,0.0714162512391,0.000228249611004,0.000677695681746
1149,0.0100573342314,0.0729425373039,0.000202623651164,0.000663762479901
1232,0.0103383662794,0.0738980383717,0.000195407781386,0.000683155572392
1321,0.0104124167098,0.0745305279529,0.000194576636619,0.000707752633665
1417,0.0109054978662,0.0754081043261,0.000174096110307,0.000739759857772
1519,0.0112282172545,0.0763453591484,0.000167167709925,0.000779784683013
1629,0.0117225450935,0.077176323544,0.00014144399978,0.000819771177114
1747,0.011967608952,0.0778523824787,0.000135916781721,0.000809317435024
1873,0.0124713793788,0.0777215233092,0.000143136152656,0.000770076907043
2009,0.0129124058777,0.0772402582043,0.000151458485303,0.000740214617034
2154,0.0132129774619,0.0772889779299,0.000148042287764,0.000705463384192
2310,0.0133937685869,0.0775148788856,0.000161421859455,0.000662580363276
2477,0.0133424834933,0.0775649354628,0.000167643100562,0.000605719883474
2656,0.0130826977929,0.0774665083784,0.000175504214921,0.000549725195026
2848,0.0126914917744,0.0772806929476,0.000195918339064,0.000483070903325
3053,0.0122533948119,0.0772701625248,0.000211872351232,0.000410668125377
3274,0.0117388747723,0.0771884172852,0.000245349387306,0.00031715844518
3511,0.0111634370151,0.077136348342,0.000267960904436,0.000260661783218
3764,0.0105670589254,0.0773561073154,0.000287128485085,0.000229843036752
4037,0.0102259638342,0.0777830163405,0.000294943195573,0.000211684050552
4328,0.0101077533244,0.0777849719966,0.000292337835559,0.000194065171763
4641,0.0101304338451,0.0776476402274,0.000298056492923,0.000180277724817
4977,0.0102266704409,0.0776361480492,0.000305184184149,0.000155258843931
5336,0.0103463099597,0.0776664376487,0.000308009554049,0.000134216694711
5722,0.0103340649665,0.0777249860709,0.000297180301802,0.000116497398429
6135,0.0103776296131,0.0777509837134,0.000286029896127,0.000108420439589
6579,0.0105485565483,0.078008297576,0.000263485563196,9.90257450643e-05
7054,0.0108913466275,0.0782822673747,0.000237036589194,8.62960300292e-05
7564,0.0111827449824,0.0786364508623,0.000215410777089,8.12205249202e-05
8111,0.0114290350542,0.0789569583148,0.000198205662505,7.04001163345e-05
8697,0.011590745729,0.0792901704284,0.000188289062583,6.61790746475e-05
9326,0.0115068057098,0.0795642757377,0.000172911197353,6.23335173329e-05
10000,0.0114629855312,0.080077342769,0.000154647896515,6.53569826073e-05
10722,0.0115875407392,0.0805121663208,0.000137871758391,6.57070722883e-05
11497,0.011842179223,0.0807752119225,0.000123116032363,6.03443537621e-05
12328,0.0120081715347,0.0810894292238,0.000105997081268,5.44346200308e-05
13219,0.0121249196593,0.0813872036803,9.6314690309e-05,5.03513784414e-05
14174,0.0121401483596,0.0815088990417,8.75229052359e-05,5.02188552691e-05
15199,0.0121639141964,0.081396567853,8.29379425194e-05,4.76566085108e-05
16297,0.01215876105,0.0811616127946,8.26120463996e-05,4.87803280429e-05
17475,0.0120281715451,0.0809458089434,8.44960437281e-05,4.96815092548e-05
18738,0.0120556165095,0.0806946679732,8.31969982287e-05,4.91282409382e-05
20092,0.0120690867334,0.0803348130028,8.1606741325e-05,4.4644696921e-05
21544,0.0119800293015,0.0799255432717,8.17217742131e-05,4.41087473116e-05
23101,0.0118667635644,0.0795514084133,8.20325718519e-05,4.40029050923e-05
24770,0.011862756501,0.0790456127963,8.2757760162e-05,4.2998666402e-05
26560,0.011915675221,0.0786233210753,7.87589799261e-05,4.33916411765e-05
28480,0.012004291509,0.0782787693286,7.38024745204e-05,4.14080579514e-05
30538,0.0121051110577,0.0780800097499,7.04601929932e-05,3.78818102404e-05
32745,0.0121716841138,0.0779433537289,6.83586530153e-05,3.26476137098e-05
35111,0.0122855857924,0.0778123198538,6.18426095119e-05,2.87913640631e-05
37649,0.0123524414133,0.0776943274155,5.76816210498e-05,2.43849624487e-05
40370,0.0123874804496,0.0775615068154,5.22836737665e-05,2.12379543415e-05
43287,0.0124768160509,0.0774852488762,4.79674871207e-05,1.85204858865e-05
46415,0.0124834617552,0.0774056545929,4.54679281124e-05,1.47138469077e-05
49770,0.012471259539,0.0773575203642,4.18843335232e-05,1.17745648499e-05
53366,0.0124277523972,0.0773036541312,4.08536690419e-05,9.71176089292e-06
