n,kl,err
100,0.077040,0.136874
107,0.074814,0.134024
114,0.072282,0.130296
123,0.069123,0.126879
132,0.066291,0.121273
141,0.063496,0.115197
151,0.059779,0.105354
162,0.056151,0.096317
174,0.053469,0.090640
187,0.050944,0.083186
200,0.049124,0.076360
215,0.047233,0.069864
231,0.046007,0.063938
247,0.044402,0.056651
265,0.042837,0.050408
284,0.041176,0.045169
305,0.040974,0.043488
327,0.039777,0.040892
351,0.037574,0.036483
376,0.036041,0.034435
403,0.034244,0.032662
432,0.032595,0.030962
464,0.030972,0.029613
497,0.029786,0.028905
533,0.027926,0.026956
572,0.026277,0.025505
613,0.024620,0.023373
657,0.023319,0.021864
705,0.022776,0.021109
756,0.021978,0.019853
811,0.021463,0.018357
869,0.020905,0.016993
932,0.020397,0.015783
1000,0.019830,0.014497
1072,0.019344,0.013685
1149,0.018713,0.012548
1232,0.018153,0.011982
1321,0.017851,0.011706
1417,0.017394,0.011220
1519,0.017073,0.011293
1629,0.016863,0.011446
1747,0.016381,0.011484
1873,0.015849,0.011511
2009,0.015333,0.011279
2154,0.014967,0.011119
2310,0.014542,0.010585
2477,0.014163,0.009345
2656,0.013785,0.008152
2848,0.013489,0.007371
3053,0.013255,0.006711
3274,0.013051,0.006323
3511,0.013012,0.006211
3764,0.013017,0.005991
4037,0.013038,0.005850
4328,0.013056,0.005632
4641,0.013076,0.005740
4977,0.013091,0.005932
5336,0.013015,0.005855
5722,0.012925,0.005668
6135,0.012828,0.005436
6579,0.012643,0.005050
7054,0.012491,0.004475
7564,0.012383,0.004174
8111,0.012356,0.003787
8697,0.012263,0.003582
9326,0.012248,0.003300
10000,0.012255,0.003134
10722,0.012341,0.003123
11497,0.012443,0.003151
12328,0.012498,0.003183
13219,0.012519,0.003130
14174,0.012456,0.003175
15199,0.012361,0.003045
16297,0.012243,0.002993
17475,0.012136,0.002843
18738,0.012049,0.002821
20092,0.012001,0.002777
21544,0.011940,0.002676
23101,0.011884,0.002532
24770,0.011826,0.002376
26560,0.011815,0.002265
28480,0.011828,0.002106
30538,0.011811,0.002007
32745,0.011805,0.001985
35111,0.011803,0.001957
37649,0.011804,0.001884
40370,0.011803,0.001775
43287,0.011804,0.001701
46415,0.011794,0.001600
49770,0.011801,0.001531
53366,0.011803,0.001478
