n,kl,err
100,0.005531,0.006959
107,0.004020,0.005977
114,0.003822,0.005461
123,0.003643,0.004971
132,0.003461,0.004527
141,0.003256,0.004111
151,0.003097,0.003774
162,0.002966,0.003459
174,0.002832,0.003084
187,0.002663,0.002624
200,0.002490,0.002199
215,0.002382,0.001858
231,0.002210,0.001656
247,0.002061,0.001475
265,0.001912,0.001268
284,0.001781,0.001060
305,0.001644,0.000860
327,0.001522,0.000676
351,0.001429,0.000626
376,0.001342,0.000589
403,0.001273,0.000536
432,0.001202,0.000498
464,0.001119,0.000452
497,0.001043,0.000431
533,0.000968,0.000407
572,0.000892,0.000385
613,0.000822,0.000350
657,0.000761,0.000324
705,0.000705,0.000298
756,0.000652,0.000277
811,0.000606,0.000251
869,0.000559,0.000227
932,0.000515,0.000205
1000,0.000476,0.000184
1072,0.000443,0.000165
1149,0.000413,0.000151
1232,0.000384,0.000132
1321,0.000357,0.000114
1417,0.000333,0.000103
1519,0.000311,0.000096
1629,0.000290,0.000087
1747,0.000270,0.000080
1873,0.000254,0.000074
2009,0.000238,0.000069
2154,0.000223,0.000064
2310,0.000208,0.000061
2477,0.000195,0.000058
2656,0.000183,0.000056
2848,0.000171,0.000051
3053,0.000160,0.000046
3274,0.000149,0.000041
3511,0.000139,0.000036
3764,0.000129,0.000032
4037,0.000120,0.000029
4328,0.000112,0.000026
4641,0.000104,0.000023
4977,0.000097,0.000021
5336,0.000090,0.000018
5722,0.000083,0.000016
6135,0.000078,0.000014
6579,0.000073,0.000012
7054,0.000068,0.000011
7564,0.000063,0.000010
8111,0.000059,0.000009
8697,0.000055,0.000007
9326,0.000051,0.000006
10000,0.000047,0.000005
10722,0.000044,0.000004
11497,0.000041,0.000004
12328,0.000039,0.000004
13219,0.000036,0.000003
14174,0.000034,0.000002
15199,0.000031,0.000002
16297,0.000029,0.000002
17475,0.000027,0.000002
18738,0.000026,0.000002
20092,0.000024,0.000002
21544,0.000022,0.000001
23101,0.000021,0.000001
24770,0.000019,0.000001
26560,0.000018,0.000001
28480,0.000017,0.000001
30538,0.000016,0.000001
32745,0.000015,0.000001
35111,0.000014,0.000001
37649,0.000013,0.000001
40370,0.000012,0.000001
43287,0.000011,0.000000
46415,0.000010,0.000000
49770,0.000010,0.000000
53366,0.000009,0.000000
