n,kl,err
100,0.003540,0.012620
107,0.003622,0.013039
114,0.003705,0.013327
123,0.003807,0.013116
132,0.003973,0.012765
141,0.004110,0.012027
151,0.004353,0.011365
162,0.004648,0.011229
174,0.004841,0.010533
187,0.005056,0.009912
200,0.005203,0.008982
215,0.005315,0.008507
231,0.005260,0.007663
247,0.005114,0.007193
265,0.004853,0.006730
284,0.004585,0.006273
305,0.004186,0.005725
327,0.003757,0.005092
351,0.003262,0.004453
376,0.002710,0.003563
403,0.002246,0.003010
432,0.001882,0.002557
464,0.001654,0.002395
497,0.001479,0.002220
533,0.001348,0.002168
572,0.001195,0.002095
613,0.001068,0.002002
657,0.001004,0.001904
705,0.000950,0.001815
756,0.000925,0.001732
811,0.000910,0.001682
869,0.000891,0.001612
932,0.000896,0.001616
1000,0.000892,0.001568
1072,0.000905,0.001578
1149,0.000926,0.001588
1232,0.000974,0.001683
1321,0.001006,0.001731
1417,0.001045,0.001735
1519,0.001070,0.001763
1629,0.001098,0.001767
1747,0.001109,0.001736
1873,0.001081,0.001638
2009,0.001064,0.001532
2154,0.001043,0.001397
2310,0.001036,0.001343
2477,0.001007,0.001237
2656,0.000992,0.001211
2848,0.000969,0.001217
3053,0.000948,0.001189
3274,0.000923,0.001150
3511,0.000912,0.001101
3764,0.000918,0.001077
4037,0.000929,0.001053
4328,0.000936,0.000990
4641,0.000937,0.000925
4977,0.000945,0.000857
5336,0.000954,0.000777
5722,0.000971,0.000711
6135,0.001000,0.000684
6579,0.001027,0.000672
7054,0.001050,0.000654
7564,0.001076,0.000623
8111,0.001100,0.000604
8697,0.001122,0.000608
9326,0.001138,0.000598
10000,0.001161,0.000587
10722,0.001187,0.000573
11497,0.001205,0.000556
12328,0.001210,0.000530
13219,0.001223,0.000518
14174,0.001234,0.000525
15199,0.001241,0.000551
16297,0.001240,0.000555
17475,0.001240,0.000550
18738,0.001239,0.000551
20092,0.001227,0.000558
21544,0.001209,0.000560
23101,0.001197,0.000554
24770,0.001190,0.000549
26560,0.001186,0.000532
28480,0.001181,0.000500
30538,0.001175,0.000462
32745,0.001169,0.000420
35111,0.001163,0.000390
37649,0.001165,0.000374
40370,0.001169,0.000364
43287,0.001177,0.000356
46415,0.001180,0.000343
49770,0.001184,0.000330
53366,0.001177,0.000312
