n,kl,err
100,0.004363,0.008353
107,0.003882,0.007603
114,0.003311,0.006451
123,0.002975,0.005908
132,0.002768,0.005675
141,0.002502,0.005657
151,0.002256,0.005670
162,0.002119,0.005857
174,0.001912,0.005752
187,0.001818,0.005903
200,0.001793,0.006263
215,0.001807,0.006617
231,0.001801,0.006798
247,0.001790,0.006781
265,0.001678,0.006431
284,0.001597,0.006056
305,0.001508,0.005554
327,0.001438,0.005080
351,0.001380,0.004757
376,0.001296,0.004310
403,0.001168,0.003705
432,0.001020,0.003089
464,0.000900,0.002622
497,0.000780,0.002190
533,0.000695,0.001939
572,0.000593,0.001647
613,0.000502,0.001392
657,0.000412,0.001111
705,0.000349,0.000859
756,0.000310,0.000735
811,0.000289,0.000658
869,0.000288,0.000692
932,0.000295,0.000752
1000,0.000309,0.000834
1072,0.000322,0.000892
1149,0.000326,0.000912
1232,0.000320,0.000905
1321,0.000319,0.000924
1417,0.000303,0.000907
1519,0.000298,0.000889
1629,0.000283,0.000871
1747,0.000266,0.000808
1873,0.000256,0.000758
2009,0.000247,0.000712
2154,0.000240,0.000669
2310,0.000238,0.000652
2477,0.000236,0.000629
2656,0.000229,0.000598
2848,0.000226,0.000575
3053,0.000222,0.000553
3274,0.000221,0.000523
3511,0.000215,0.000499
3764,0.000205,0.000472
4037,0.000195,0.000442
4328,0.000189,0.000437
4641,0.000185,0.000446
4977,0.000180,0.000445
5336,0.000176,0.000446
5722,0.000169,0.000439
6135,0.000157,0.000428
6579,0.000143,0.000417
7054,0.000133,0.000408
7564,0.000123,0.000395
8111,0.000114,0.000387
8697,0.000106,0.000375
9326,0.000097,0.000340
10000,0.000089,0.000311
10722,0.000082,0.000286
11497,0.000077,0.000267
12328,0.000074,0.000249
13219,0.000074,0.000239
14174,0.000072,0.000231
15199,0.000068,0.000214
16297,0.000064,0.000196
17475,0.000062,0.000184
18738,0.000060,0.000178
20092,0.000058,0.000173
21544,0.000056,0.000168
23101,0.000052,0.000158
24770,0.000048,0.000147
26560,0.000044,0.000134
28480,0.000040,0.000120
30538,0.000039,0.000112
32745,0.000038,0.000106
35111,0.000038,0.000098
37649,0.000038,0.000090
40370,0.000038,0.000082
43287,0.000038,0.000076
46415,0.000039,0.000070
49770,0.000039,0.000065
53366,0.000040,0.000060
