n,kl,err
100,0.011045,0.017940
107,0.006442,0.004496
114,0.006196,0.004246
123,0.005939,0.005159
132,0.005275,0.006401
141,0.004397,0.003643
151,0.004096,0.003127
162,0.003698,0.002477
174,0.003645,0.002580
187,0.003107,0.001384
200,0.002928,0.001501
215,0.003127,0.000932
231,0.002603,0.000679
247,0.002434,0.001273
265,0.002215,0.001262
284,0.002005,0.001204
305,0.001702,0.001028
327,0.001842,0.000668
351,0.001672,0.000545
376,0.001505,0.000783
403,0.001517,0.000731
432,0.001342,0.000791
464,0.001235,0.000329
497,0.001048,0.000372
533,0.000948,0.000296
572,0.000925,0.000243
613,0.000778,0.000160
657,0.000698,0.000177
705,0.000616,0.000170
756,0.000555,0.000184
811,0.000554,0.000171
869,0.000494,0.000137
932,0.000416,0.000074
1000,0.000391,0.000028
1072,0.000382,0.000136
1149,0.000352,0.000141
1232,0.000343,0.000137
1321,0.000310,0.000108
1417,0.000280,0.000085
1519,0.000242,0.000066
1629,0.000220,0.000057
1747,0.000199,0.000067
1873,0.000181,0.000061
2009,0.000167,0.000040
2154,0.000152,0.000042
2310,0.000136,0.000043
2477,0.000120,0.000029
2656,0.000112,0.000040
2848,0.000102,0.000038
3053,0.000092,0.000036
3274,0.000086,0.000038
3511,0.000080,0.000030
3764,0.000068,0.000014
4037,0.000062,0.000010
4328,0.000055,0.000008
4641,0.000051,0.000006
4977,0.000042,0.000008
5336,0.000039,0.000005
5722,0.000037,0.000004
6135,0.000033,0.000005
6579,0.000032,0.000006
7054,0.000029,0.000005
7564,0.000027,0.000004
8111,0.000025,0.000003
8697,0.000023,0.000002
9326,0.000020,0.000003
10000,0.000019,0.000003
10722,0.000017,0.000003
11497,0.000016,0.000002
12328,0.000015,0.000001
13219,0.000014,0.000001
14174,0.000012,0.000001
15199,0.000011,0.000000
16297,0.000010,0.000000
17475,0.000010,0.000000
18738,0.000009,0.000000
20092,0.000008,0.000000
21544,0.000008,0.000000
23101,0.000007,0.000000
24770,0.000007,0.000000
26560,0.000006,0.000000
28480,0.000006,0.000000
30538,0.000005,0.000000
32745,0.000005,0.000000
35111,0.000004,0.000000
37649,0.000004,0.000000
40370,0.000004,0.000000
43287,0.000003,0.000000
46415,0.000003,0.000000
49770,0.000003,0.000000
53366,0.000003,0.000000
57223,0.000002,0.000000
61359,0.000002,0.000000
65793,0.000002,0.000000
70548,0.000002,0.000000
75646,0.000002,0.000000
81113,0.000002,0.000000
86974,0.000002,0.000000
93260,0.000001,0.000000
100000,0.000001,0.000000
