n,kl,err
100,0.021689,0.000000
107,0.018975,0.000000
114,0.018722,0.000000
123,0.019088,0.000000
132,0.019254,0.000000
141,0.015078,0.000000
151,0.011021,0.000000
162,0.007164,0.000000
174,0.003650,0.000000
187,0.002993,0.000000
200,0.003129,0.000000
215,0.003246,0.000000
231,0.003548,0.000000
247,0.003445,0.000000
265,0.003255,0.000000
284,0.003034,0.000000
305,0.002876,0.000000
327,0.002751,0.000000
351,0.002555,0.000000
376,0.002436,0.000000
403,0.002386,0.000000
432,0.002371,0.000000
464,0.002078,0.000000
497,0.001792,0.000000
533,0.001609,0.000000
572,0.001461,0.000000
613,0.001329,0.000000
657,0.001243,0.000000
705,0.001137,0.000000
756,0.001053,0.000000
811,0.000953,0.000000
869,0.000833,0.000000
932,0.000730,0.000000
1000,0.000631,0.000000
1072,0.000557,0.000000
1149,0.000509,0.000000
1232,0.000463,0.000000
1321,0.000413,0.000000
1417,0.000364,0.000000
1519,0.000320,0.000000
1629,0.000285,0.000000
1747,0.000252,0.000000
1873,0.000230,0.000000
2009,0.000211,0.000000
2154,0.000190,0.000000
2310,0.000169,0.000000
2477,0.000149,0.000000
2656,0.000133,0.000000
2848,0.000120,0.000000
3053,0.000108,0.000000
3274,0.000098,0.000000
3511,0.000088,0.000000
3764,0.000076,0.000000
4037,0.000068,0.000000
4328,0.000061,0.000000
4641,0.000056,0.000000
4977,0.000052,0.000000
5336,0.000047,0.000000
5722,0.000041,0.000000
6135,0.000036,0.000000
6579,0.000033,0.000000
7054,0.000030,0.000000
7564,0.000028,0.000000
8111,0.000026,0.000000
8697,0.000024,0.000000
9326,0.000022,0.000000
10000,0.000020,0.000000
10722,0.000018,0.000000
11497,0.000017,0.000000
12328,0.000016,0.000000
13219,0.000014,0.000000
14174,0.000013,0.000000
15199,0.000011,0.000000
16297,0.000011,0.000000
17475,0.000010,0.000000
18738,0.000009,0.000000
20092,0.000008,0.000000
21544,0.000007,0.000000
23101,0.000007,0.000000
24770,0.000006,0.000000
26560,0.000006,0.000000
28480,0.000005,0.000000
30538,0.000005,0.000000
32745,0.000004,0.000000
35111,0.000004,0.000000
37649,0.000003,0.000000
40370,0.000003,0.000000
43287,0.000003,0.000000
46415,0.000003,0.000000
49770,0.000002,0.000000
53366,0.000002,0.000000
