n,kl,err
100,0.001581,0.002880
107,0.001614,0.003185
114,0.001615,0.003430
123,0.001633,0.003694
132,0.001697,0.003751
141,0.001739,0.003891
151,0.001751,0.003842
162,0.001701,0.003764
174,0.001634,0.003663
187,0.001467,0.003497
200,0.001382,0.003350
215,0.001310,0.003107
231,0.001237,0.002751
247,0.001172,0.002435
265,0.001155,0.002108
284,0.001147,0.001745
305,0.001186,0.001589
327,0.001210,0.001379
351,0.001239,0.001352
376,0.001200,0.001229
403,0.001152,0.001108
432,0.001129,0.001006
464,0.001110,0.001003
497,0.001064,0.000929
533,0.000953,0.000809
572,0.000836,0.000777
613,0.000710,0.000764
657,0.000611,0.000764
705,0.000521,0.000681
756,0.000468,0.000643
811,0.000428,0.000612
869,0.000366,0.000565
932,0.000295,0.000510
1000,0.000238,0.000454
1072,0.000196,0.000411
1149,0.000166,0.000338
1232,0.000143,0.000295
1321,0.000129,0.000291
1417,0.000119,0.000295
1519,0.000118,0.000296
1629,0.000116,0.000301
1747,0.000109,0.000294
1873,0.000105,0.000281
2009,0.000107,0.000288
2154,0.000106,0.000279
2310,0.000111,0.000295
2477,0.000115,0.000304
2656,0.000119,0.000312
2848,0.000122,0.000307
3053,0.000117,0.000287
3274,0.000113,0.000259
3511,0.000115,0.000251
3764,0.000112,0.000232
4037,0.000107,0.000215
4328,0.000100,0.000197
4641,0.000090,0.000170
4977,0.000085,0.000150
5336,0.000079,0.000126
5722,0.000072,0.000100
6135,0.000069,0.000081
6579,0.000063,0.000070
7054,0.000060,0.000065
7564,0.000061,0.000070
8111,0.000065,0.000078
8697,0.000068,0.000079
9326,0.000071,0.000084
10000,0.000075,0.000092
10722,0.000080,0.000100
11497,0.000085,0.000110
12328,0.000089,0.000119
13219,0.000093,0.000125
14174,0.000097,0.000129
15199,0.000099,0.000131
16297,0.000102,0.000139
17475,0.000106,0.000149
18738,0.000110,0.000161
20092,0.000109,0.000163
21544,0.000106,0.000165
23101,0.000102,0.000166
24770,0.000097,0.000165
26560,0.000093,0.000166
28480,0.000090,0.000166
30538,0.000087,0.000165
32745,0.000082,0.000157
35111,0.000075,0.000146
37649,0.000068,0.000133
40370,0.000064,0.000125
43287,0.000061,0.000118
46415,0.000059,0.000112
49770,0.000059,0.000109
53366,0.000058,0.000104
