n,kl,err
100,0.004473,0.005853
107,0.004136,0.004647
114,0.003878,0.004309
123,0.003650,0.004098
132,0.003433,0.003969
141,0.003198,0.003579
151,0.002934,0.003288
162,0.002718,0.002882
174,0.002487,0.002632
187,0.002290,0.002382
200,0.002113,0.002099
215,0.001961,0.001863
231,0.001782,0.001613
247,0.001631,0.001396
265,0.001495,0.001150
284,0.001379,0.000920
305,0.001298,0.000754
327,0.001182,0.000669
351,0.001089,0.000560
376,0.001004,0.000444
403,0.000923,0.000373
432,0.000840,0.000304
464,0.000764,0.000281
497,0.000696,0.000255
533,0.000636,0.000222
572,0.000583,0.000203
613,0.000532,0.000168
657,0.000494,0.000163
705,0.000460,0.000152
756,0.000428,0.000142
811,0.000397,0.000134
869,0.000364,0.000118
932,0.000333,0.000106
1000,0.000306,0.000097
1072,0.000283,0.000090
1149,0.000260,0.000085
1232,0.000240,0.000080
1321,0.000220,0.000073
1417,0.000202,0.000067
1519,0.000186,0.000061
1629,0.000172,0.000056
1747,0.000156,0.000051
1873,0.000143,0.000044
2009,0.000130,0.000039
2154,0.000119,0.000035
2310,0.000109,0.000033
2477,0.000100,0.000030
2656,0.000092,0.000027
2848,0.000084,0.000024
3053,0.000077,0.000021
3274,0.000070,0.000018
3511,0.000065,0.000016
3764,0.000060,0.000015
4037,0.000055,0.000013
4328,0.000050,0.000010
4641,0.000046,0.000008
4977,0.000042,0.000006
5336,0.000038,0.000005
5722,0.000035,0.000004
6135,0.000032,0.000003
6579,0.000029,0.000003
7054,0.000027,0.000003
7564,0.000025,0.000002
8111,0.000023,0.000002
8697,0.000021,0.000002
9326,0.000019,0.000002
10000,0.000018,0.000002
10722,0.000016,0.000002
11497,0.000015,0.000002
12328,0.000014,0.000002
13219,0.000013,0.000002
14174,0.000012,0.000002
15199,0.000011,0.000002
16297,0.000011,0.000001
17475,0.000010,0.000001
18738,0.000009,0.000001
20092,0.000008,0.000001
21544,0.000008,0.000001
23101,0.000007,0.000001
24770,0.000007,0.000001
26560,0.000006,0.000001
28480,0.000006,0.000001
30538,0.000005,0.000001
32745,0.000005,0.000001
35111,0.000005,0.000000
37649,0.000004,0.000000
40370,0.000004,0.000000
43287,0.000004,0.000000
46415,0.000004,0.000000
49770,0.000003,0.000000
53366,0.000003,0.000000
