n,kl,err
100,0.023204,0.026628
107,0.006145,0.013510
114,0.006493,0.012930
123,0.007379,0.013323
132,0.008950,0.015903
141,0.009471,0.016799
151,0.010392,0.015138
162,0.009767,0.013702
174,0.008723,0.009742
187,0.007740,0.008260
200,0.006606,0.006972
215,0.006208,0.005048
231,0.005220,0.005058
247,0.003856,0.001734
265,0.003740,0.001511
284,0.003803,0.003087
305,0.003681,0.003151
327,0.003610,0.004291
351,0.003408,0.004032
376,0.003022,0.003326
403,0.002595,0.002925
432,0.003664,0.003127
464,0.003251,0.002977
497,0.002927,0.003020
533,0.002605,0.002392
572,0.002504,0.002161
613,0.002530,0.001789
657,0.002407,0.001665
705,0.002206,0.001568
756,0.002140,0.001314
811,0.002401,0.000917
869,0.002187,0.000959
932,0.002028,0.000765
1000,0.001906,0.000711
1072,0.001704,0.000717
1149,0.001569,0.000729
1232,0.001460,0.000596
1321,0.001397,0.000476
1417,0.001614,0.000653
1519,0.001576,0.000693
1629,0.001492,0.000699
1747,0.001403,0.000386
1873,0.001312,0.000311
2009,0.001287,0.000429
2154,0.001184,0.000486
2310,0.001081,0.000474
2477,0.001041,0.000398
2656,0.001123,0.000300
2848,0.001022,0.000304
3053,0.000968,0.000271
3274,0.000969,0.000356
3511,0.000892,0.000375
3764,0.000971,0.000232
4037,0.000890,0.000193
4328,0.000808,0.000189
4641,0.000753,0.000170
4977,0.000618,0.000132
5336,0.000619,0.000128
5722,0.000573,0.000112
6135,0.000533,0.000104
6579,0.000532,0.000100
7054,0.000496,0.000080
7564,0.000463,0.000075
8111,0.000427,0.000079
8697,0.000397,0.000062
9326,0.000407,0.000054
10000,0.000379,0.000053
10722,0.000352,0.000045
11497,0.000330,0.000032
12328,0.000331,0.000027
13219,0.000313,0.000022
14174,0.000289,0.000021
15199,0.000271,0.000025
16297,0.000242,0.000031
17475,0.000223,0.000026
18738,0.000208,0.000021
20092,0.000196,0.000019
21544,0.000182,0.000016
23101,0.000176,0.000012
24770,0.000164,0.000011
26560,0.000154,0.000012
28480,0.000142,0.000013
30538,0.000127,0.000011
32745,0.000119,0.000010
35111,0.000110,0.000010
37649,0.000103,0.000007
40370,0.000095,0.000005
43287,0.000100,0.000007
46415,0.000093,0.000007
49770,0.000087,0.000007
53366,0.000081,0.000006
57223,0.000072,0.000003
61359,0.000067,0.000003
65793,0.000062,0.000003
70548,0.000058,0.000003
75646,0.000066,0.000003
81113,0.000061,0.000002
86974,0.000057,0.000002
93260,0.000053,0.000002
100000,0.000049,0.000002
