n,kl,err
100,0.006615,0.013268
107,0.006303,0.013574
114,0.006032,0.013681
123,0.005635,0.013489
132,0.005253,0.013412
141,0.004924,0.013192
151,0.004648,0.013124
162,0.004376,0.012755
174,0.004186,0.012803
187,0.003936,0.012144
200,0.003603,0.010943
215,0.003301,0.009748
231,0.002976,0.008590
247,0.002668,0.007658
265,0.002326,0.006480
284,0.002106,0.005696
305,0.001927,0.004876
327,0.001783,0.004224
351,0.001611,0.003412
376,0.001474,0.002925
403,0.001381,0.002682
432,0.001301,0.002486
464,0.001213,0.002284
497,0.001127,0.002043
533,0.001091,0.002021
572,0.001042,0.002005
613,0.000981,0.001979
657,0.000915,0.001922
705,0.000871,0.001852
756,0.000813,0.001722
811,0.000742,0.001599
869,0.000675,0.001477
932,0.000597,0.001340
1000,0.000534,0.001251
1072,0.000471,0.001107
1149,0.000416,0.000946
1232,0.000383,0.000845
1321,0.000364,0.000807
1417,0.000347,0.000781
1519,0.000332,0.000768
1629,0.000317,0.000706
1747,0.000309,0.000677
1873,0.000306,0.000655
2009,0.000303,0.000633
2154,0.000298,0.000615
2310,0.000290,0.000595
2477,0.000268,0.000550
2656,0.000255,0.000510
2848,0.000248,0.000492
3053,0.000242,0.000471
3274,0.000235,0.000458
3511,0.000225,0.000445
3764,0.000218,0.000430
4037,0.000215,0.000417
4328,0.000209,0.000396
4641,0.000205,0.000388
4977,0.000201,0.000381
5336,0.000194,0.000374
5722,0.000189,0.000361
6135,0.000180,0.000344
6579,0.000171,0.000323
7054,0.000162,0.000299
7564,0.000157,0.000283
8111,0.000153,0.000274
8697,0.000149,0.000268
9326,0.000145,0.000253
10000,0.000142,0.000244
10722,0.000140,0.000239
11497,0.000138,0.000241
12328,0.000137,0.000245
13219,0.000135,0.000247
14174,0.000132,0.000245
15199,0.000129,0.000240
16297,0.000126,0.000235
17475,0.000123,0.000234
18738,0.000122,0.000237
20092,0.000122,0.000242
21544,0.000121,0.000243
23101,0.000120,0.000239
24770,0.000119,0.000233
26560,0.000117,0.000227
28480,0.000117,0.000220
30538,0.000116,0.000211
32745,0.000114,0.000200
35111,0.000111,0.000185
37649,0.000108,0.000170
40370,0.000104,0.000156
43287,0.000101,0.000143
46415,0.000099,0.000132
49770,0.000098,0.000124
53366,0.000097,0.000118
