n,kl,err
100,0.007541,0.013513
107,0.004306,0.004975
114,0.003823,0.005640
123,0.003459,0.004189
132,0.003289,0.005550
141,0.003013,0.006327
151,0.002924,0.005988
162,0.003016,0.004845
174,0.002626,0.002500
187,0.002290,0.001795
200,0.002087,0.001426
215,0.002370,0.001295
231,0.002071,0.001147
247,0.002137,0.001314
265,0.001820,0.001281
284,0.002078,0.001225
305,0.001929,0.001344
327,0.001495,0.000711
351,0.001272,0.000604
376,0.001254,0.000535
403,0.001341,0.000432
432,0.001298,0.000245
464,0.001149,0.000190
497,0.001064,0.000196
533,0.000989,0.000274
572,0.000840,0.000270
613,0.000750,0.000187
657,0.000689,0.000246
705,0.000642,0.000200
756,0.000587,0.000190
811,0.000571,0.000162
869,0.000524,0.000161
932,0.000441,0.000094
1000,0.000393,0.000096
1072,0.000405,0.000133
1149,0.000360,0.000105
1232,0.000317,0.000096
1321,0.000288,0.000091
1417,0.000255,0.000072
1519,0.000234,0.000057
1629,0.000223,0.000060
1747,0.000203,0.000050
1873,0.000174,0.000033
2009,0.000154,0.000055
2154,0.000136,0.000050
2310,0.000125,0.000045
2477,0.000115,0.000036
2656,0.000104,0.000025
2848,0.000094,0.000028
3053,0.000087,0.000017
3274,0.000083,0.000020
3511,0.000075,0.000015
3764,0.000068,0.000013
4037,0.000062,0.000011
4328,0.000057,0.000011
4641,0.000054,0.000004
4977,0.000047,0.000004
5336,0.000044,0.000004
5722,0.000040,0.000003
6135,0.000036,0.000003
6579,0.000033,0.000007
7054,0.000031,0.000007
7564,0.000028,0.000006
8111,0.000026,0.000006
8697,0.000024,0.000003
9326,0.000021,0.000002
10000,0.000019,0.000002
10722,0.000018,0.000001
11497,0.000016,0.000001
12328,0.000014,0.000001
13219,0.000013,0.000001
14174,0.000012,0.000002
15199,0.000011,0.000001
16297,0.000010,0.000001
17475,0.000010,0.000001
18738,0.000009,0.000001
20092,0.000008,0.000001
21544,0.000008,0.000000
23101,0.000007,0.000001
24770,0.000006,0.000001
26560,0.000006,0.000001
28480,0.000006,0.000000
30538,0.000005,0.000000
32745,0.000005,0.000000
35111,0.000004,0.000000
37649,0.000004,0.000000
40370,0.000004,0.000000
43287,0.000003,0.000000
46415,0.000003,0.000000
49770,0.000003,0.000000
53366,0.000003,0.000000
57223,0.000002,0.000000
61359,0.000002,0.000000
65793,0.000002,0.000000
70548,0.000002,0.000000
75646,0.000002,0.000000
81113,0.000002,0.000000
86974,0.000002,0.000000
93260,0.000001,0.000000
100000,0.000001,0.000000
