Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.01     0.01   420318     0.00     0.00  caml_alloc_small
 14.29      0.02     0.01   125023     0.00     0.00  caml_oldify_one
 14.29      0.03     0.01      100     0.10     0.13  camlPpl__Dist__sample_504
 14.29      0.04     0.01       55     0.18     0.36  caml_empty_minor_heap
 14.29      0.05     0.01       27     0.37     0.37  mark_slice
 14.29      0.06     0.01                             camlBase__Array__fill_2886
 14.29      0.07     0.01                             camlBase__Array__of_list_map_2880
  0.00      0.07     0.00   540422     0.00     0.00  caml_apply2
  0.00      0.07     0.00   502431     0.00     0.00  caml_page_table_lookup
  0.00      0.07     0.00   280031     0.00     0.00  alloc_custom_gen
  0.00      0.07     0.00   280000     0.00     0.00  caml_ba_offset
  0.00      0.07     0.00   210504     0.00     0.00  camlPpl__Dist__return_413
  0.00      0.07     0.00   210310     0.00     0.00  caml_next_frame_descriptor
  0.00      0.07     0.00   210306     0.00     0.00  caml_copy_double
  0.00      0.07     0.00   210190     0.00     0.00  caml_make_vect
  0.00      0.07     0.00   210008     0.00     0.00  camlPpl__Dist__bind_415
  0.00      0.07     0.00   152651     0.00     0.00  caml_darken
  0.00      0.07     0.00   144793     0.00     0.00  caml_modify
  0.00      0.07     0.00   140178     0.00     0.00  caml_alloc_small_with_my_or_given_profinfo
  0.00      0.07     0.00   140178     0.00     0.00  caml_tuplify2
  0.00      0.07     0.00   140100     0.00     0.00  camlPpl__Primitive_dists__sample_1606
  0.00      0.07     0.00   140021     0.00     0.00  caml_alloc_custom
  0.00      0.07     0.00   140010     0.00     0.00  camlStdlib__list__length_aux_83
  0.00      0.07     0.00   140010     0.00     0.00  caml_alloc_custom_mem
  0.00      0.07     0.00   140005     0.00     0.00  caml_ba_alloc
  0.00      0.07     0.00   140005     0.00     0.00  caml_ba_create
  0.00      0.07     0.00   140003     0.00     0.00  camlPpl__Primitive_dists__fun_4739
  0.00      0.07     0.00   140003     0.00     0.00  camlPpl__Primitive_dists__fun_4741
  0.00      0.07     0.00   140003     0.00     0.00  camlPpl__Primitive_dists__fun_4761
  0.00      0.07     0.00   140001     0.00     0.00  caml_copy_int32
  0.00      0.07     0.00   140000     0.00     0.00  camlStdlib__array__iteri_159
  0.00      0.07     0.00   140000     0.00     0.00  caml_ba_get_N
  0.00      0.07     0.00   140000     0.00     0.00  caml_ba_get_generic
  0.00      0.07     0.00   140000     0.00     0.00  caml_ba_set_aux
  0.00      0.07     0.00   140000     0.00     0.00  caml_ba_set_generic
  0.00      0.07     0.00   138327     0.00     0.00  caml_ba_finalize
  0.00      0.07     0.00   119586     0.00     0.00  compare_val
  0.00      0.07     0.00   119136     0.00     0.00  caml_equal
  0.00      0.07     0.00    72589     0.00     0.00  allocate_block
  0.00      0.07     0.00    72589     0.00     0.00  caml_alloc_shr
  0.00      0.07     0.00    72589     0.00     0.00  caml_fl_allocate
  0.00      0.07     0.00    70175     0.00     0.00  caml_stash_backtrace
  0.00      0.07     0.00    70154     0.00     0.00  caml_alloc
  0.00      0.07     0.00    70106     0.00     0.00  camlPpl__Primitive_dists__pdf_1608
  0.00      0.07     0.00    70100     0.00     0.00  camlDune__exe__Single_coin__fun_1862
  0.00      0.07     0.00    70100     0.00     0.00  camlPpl__Dist__fun_2539
